ENSG00000140718.17 4.81997282934	TARGET-RT TARGET-52-PARRCL-11A
ENSG00000140718.17 5.81891767083	TARGET-RT TARGET-52-PARPFY-11A
ENSG00000140718.17 5.65058319794	TARGET-RT TARGET-52-PASDLA-11A
ENSG00000140718.17 6.65212308108	TARGET-RT TARGET-52-PAUDPV-11A
ENSG00000140718.17 5.70520962281	TARGET-RT TARGET-52-PARZBI-11A
ENSG00000140718.17 2.21015465208	TCGA-CESC TCGA-C5-A1MP-01A
ENSG00000140718.17 2.45540813931	TCGA-PAAD TCGA-FB-AAPQ-01A
ENSG00000140718.17 1.82857754522	TCGA-BLCA TCGA-CU-A3QU-01A
ENSG00000140718.17 2.92045857016	TCGA-THCA TCGA-EL-A3ZT-01A
ENSG00000140718.17 2.9370514255	TCGA-PRAD TCGA-VP-A872-01A
ENSG00000140718.17 1.66343213712	TCGA-UCEC TCGA-DI-A2QU-01A
ENSG00000140718.17 3.38852208932	TCGA-COAD TCGA-AA-3532-01A
ENSG00000140718.17 2.11430108195	TCGA-READ TCGA-AG-A025-01A
ENSG00000140718.17 2.06221412931	TCGA-UCS TCGA-N5-A4RA-01A
ENSG00000140718.17 6.63088060235	TARGET-WT TARGET-50-PADZUB-01A
ENSG00000140718.17 9.29707544559	TCGA-KIRC TCGA-BP-4346-01A
ENSG00000140718.17 5.00219776985	TCGA-ESCA TCGA-2H-A9GH-01A
ENSG00000140718.17 9.85302026303	TCGA-PCPG TCGA-WB-A820-01A
ENSG00000140718.17 4.28637972741	TCGA-STAD TCGA-BR-7196-01A
ENSG00000140718.17 3.85007036713	TCGA-SKCM TCGA-DA-A1I2-06A
ENSG00000140718.17 5.95369224313	TCGA-PCPG TCGA-QT-A5XL-01A
ENSG00000140718.17 0.903811540222	TCGA-DLBC TCGA-FF-8061-01A
ENSG00000140718.17 2.38505526001	TCGA-THYM TCGA-3T-AA9L-01A
ENSG00000140718.17 5.18331324718	TCGA-SKCM TCGA-EE-A29A-06A
ENSG00000140718.17 2.19100518191	TCGA-LUAD TCGA-50-5045-01A
ENSG00000140718.17 2.42626307301	TCGA-SKCM TCGA-XV-A9W2-01A
ENSG00000140718.17 8.64754132417	TCGA-ACC TCGA-OR-A5K4-01A
ENSG00000140718.17 2.54274833139	TCGA-LUSC TCGA-77-8143-01A
ENSG00000140718.17 2.17011778508	TCGA-LIHC TCGA-DD-A11D-01A
ENSG00000140718.17 6.69295539714	TCGA-KIRC TCGA-BP-4342-01A
ENSG00000140718.17 3.11144078077	TCGA-PAAD TCGA-2J-AAB1-01A
ENSG00000140718.17 3.29674714748	TCGA-LUSC TCGA-66-2771-01A
ENSG00000140718.17 2.56049572713	TARGET-WT TARGET-50-PAKXXF-01A
ENSG00000140718.17 2.57597906316	TCGA-STAD TCGA-RD-A8MV-01A
ENSG00000140718.17 2.25730163004	TCGA-LUAD TCGA-05-4403-01A
ENSG00000140718.17 6.67932808247	TCGA-OV TCGA-24-1417-01A
ENSG00000140718.17 2.41155999842	TCGA-COAD TCGA-CK-5915-01A
ENSG00000140718.17 3.29870544453	TCGA-STAD TCGA-HF-7132-01A
ENSG00000140718.17 2.06961533963	TCGA-KICH TCGA-KL-8332-01A
ENSG00000140718.17 4.51816864446	TCGA-STAD TCGA-BR-7704-11A
ENSG00000140718.17 2.83308276942	TCGA-UCS TCGA-QN-A5NN-01A
ENSG00000140718.17 1.46281689628	TCGA-COAD TCGA-AZ-4313-01A
ENSG00000140718.17 1.43613823322	TCGA-OV TCGA-13-1495-01A
ENSG00000140718.17 2.34186689877	TCGA-COAD TCGA-D5-6533-01A
ENSG00000140718.17 8.16197112797	TCGA-KIRC TCGA-B4-5378-01A
ENSG00000140718.17 1.23246765445	TCGA-BLCA TCGA-CF-A8HX-01A
ENSG00000140718.17 6.00358316492	TCGA-SKCM TCGA-BF-A1PU-01A
ENSG00000140718.17 5.14388622637	TCGA-SKCM TCGA-FS-A1ZC-06A
ENSG00000140718.17 2.65189389626	TCGA-LUSC TCGA-66-2763-01A
ENSG00000140718.17 2.29539956585	TCGA-LUAD TCGA-86-8673-01A
ENSG00000140718.17 5.86236691258	TCGA-KICH TCGA-KO-8403-11A
ENSG00000140718.17 3.9033473146	TCGA-LUSC TCGA-43-8118-01A
ENSG00000140718.17 9.66602929021	TCGA-KIRC TCGA-BP-4329-01A
ENSG00000140718.17 6.1640090256	TCGA-PCPG TCGA-QT-A5XN-01A
ENSG00000140718.17 6.04202528007	TCGA-PCPG TCGA-QR-A6H6-01A
ENSG00000140718.17 7.84794261397	TCGA-PCPG TCGA-PR-A5PH-01A
ENSG00000140718.17 5.4095019751	TCGA-COAD TCGA-A6-3810-01B
ENSG00000140718.17 1.44954882112	TCGA-CESC TCGA-FU-A3TX-01A
ENSG00000140718.17 4.50784529679	TCGA-TGCT TCGA-W4-A7U3-01A
ENSG00000140718.17 1.7628617925	TCGA-COAD TCGA-A6-5656-01A
ENSG00000140718.17 4.39440016793	TCGA-LUSC TCGA-60-2716-01A
ENSG00000140718.17 3.13650465777	TCGA-LUAD TCGA-93-7348-01A
ENSG00000140718.17 3.07022225478	TCGA-ACC TCGA-OR-A5K2-01A
ENSG00000140718.17 2.58844363172	TCGA-PRAD TCGA-EJ-5521-01A
ENSG00000140718.17 2.78774764021	TCGA-UCS TCGA-N5-A4RU-01A
ENSG00000140718.17 14.1546302201	TCGA-KIRC TCGA-B0-5119-01A
ENSG00000140718.17 1.6959442785	TCGA-LUAD TCGA-44-A47B-01A
ENSG00000140718.17 4.61008536417	TCGA-PCPG TCGA-QR-A70N-01A
ENSG00000140718.17 5.33725374605	TCGA-KIRC TCGA-A3-3316-01A
ENSG00000140718.17 3.46030292559	TCGA-THCA TCGA-EM-A22J-01A
ENSG00000140718.17 3.64577172811	TCGA-LUAD TCGA-97-8172-01A
ENSG00000140718.17 5.94233662138	TCGA-SARC TCGA-DX-A8BU-01A
ENSG00000140718.17 1.71437800948	TCGA-LIHC TCGA-DD-AACT-01A
ENSG00000140718.17 4.40692369113	TCGA-LUSC TCGA-33-6738-01A
ENSG00000140718.17 5.35797879038	TCGA-LUSC TCGA-18-3409-01A
ENSG00000140718.17 4.89954538454	TCGA-SKCM TCGA-D3-A51E-06A
ENSG00000140718.17 2.21094072458	TCGA-LUSC TCGA-66-2758-01A
ENSG00000140718.17 3.99609927057	TCGA-UCEC TCGA-AX-A2HD-11A
ENSG00000140718.17 4.18968600075	TCGA-OV TCGA-13-0906-01A
ENSG00000140718.17 4.20745168567	TCGA-LUSC TCGA-22-A5C4-01A
ENSG00000140718.17 2.27838538803	TCGA-UCEC TCGA-BS-A0VI-01A
ENSG00000140718.17 2.68850961849	TCGA-CESC TCGA-FU-A3YQ-01A
ENSG00000140718.17 2.42920464582	TCGA-UCEC TCGA-AX-A3FZ-01A
ENSG00000140718.17 12.4501094345	TCGA-KIRC TCGA-CJ-4904-01A
ENSG00000140718.17 2.38232022504	TCGA-TGCT TCGA-2G-AAGK-01A
ENSG00000140718.17 3.56462832527	TCGA-CESC TCGA-VS-A94Z-01A
ENSG00000140718.17 1.83036622962	TCGA-STAD TCGA-CG-5734-01A
ENSG00000140718.17 3.06048701838	TCGA-LAML TCGA-AB-2888-03B
ENSG00000140718.17 7.39924406281	TCGA-THYM TCGA-ZB-A965-01A
ENSG00000140718.17 4.65554946186	TCGA-LUSC TCGA-90-6837-11A
ENSG00000140718.17 4.41211291111	TCGA-CESC TCGA-C5-A1BN-01B
ENSG00000140718.17 11.9137755148	TCGA-KIRC TCGA-CW-5591-11A
ENSG00000140718.17 5.51933140458	TCGA-HNSC TCGA-UF-A7JD-01A
ENSG00000140718.17 5.64242647579	TCGA-ESCA TCGA-IG-A5S3-01A
ENSG00000140718.17 2.17333412845	TCGA-COAD TCGA-CM-4751-01A
ENSG00000140718.17 6.15147116981	TCGA-SARC TCGA-IS-A3K7-01A
ENSG00000140718.17 15.8028417741	TCGA-KIRC TCGA-B0-4846-01A
ENSG00000140718.17 2.32514339206	TCGA-UCEC TCGA-EY-A1GL-01A
ENSG00000140718.17 3.16809445737	TCGA-COAD TCGA-A6-A566-01A
ENSG00000140718.17 2.96655583043	TCGA-BLCA TCGA-DK-A2HX-01A
ENSG00000140718.17 3.3644117553	TCGA-OV TCGA-13-0887-01A
ENSG00000140718.17 4.61200056044	TCGA-STAD TCGA-D7-6520-01A
ENSG00000140718.17 2.10917470204	TCGA-OV TCGA-13-0726-01A
ENSG00000140718.17 4.4026787715	TCGA-ESCA TCGA-IC-A6RE-01A
ENSG00000140718.17 1.96857085873	TCGA-READ TCGA-AG-4007-01A
ENSG00000140718.17 4.99121443357	TCGA-THCA TCGA-GE-A2C6-11A
ENSG00000140718.17 2.08816757898	TCGA-STAD TCGA-HU-8610-01A
ENSG00000140718.17 3.48726618029	TCGA-LUSC TCGA-85-A50M-01A
ENSG00000140718.17 10.0782202554	TCGA-ACC TCGA-OR-A5L4-01A
ENSG00000140718.17 3.24096657597	TCGA-PRAD TCGA-HC-A9TE-01A
ENSG00000140718.17 1.37362353247	TCGA-OV TCGA-13-A5FT-01A
ENSG00000140718.17 4.57732385797	TCGA-UCEC TCGA-AX-A1CF-11A
ENSG00000140718.17 9.60719623556	TCGA-KIRC TCGA-B0-5096-01A
ENSG00000140718.17 8.20533538861	TARGET-WT TARGET-50-CAAAAL-01A
ENSG00000140718.17 2.80538800535	TCGA-UCEC TCGA-AP-A0LD-01A
ENSG00000140718.17 1.63239932002	TCGA-ESCA TCGA-RE-A7BO-01A
ENSG00000140718.17 3.18254957671	TCGA-LUAD TCGA-44-A47G-01A
ENSG00000140718.17 3.06577589367	TCGA-HNSC TCGA-BB-4223-01A
ENSG00000140718.17 1.28357968188	TCGA-KIRC TCGA-B0-5702-01A
ENSG00000140718.17 6.39537951373	TCGA-PCPG TCGA-QR-A707-01A
ENSG00000140718.17 2.58000761034	TCGA-HNSC TCGA-D6-6516-01A
ENSG00000140718.17 3.8649648744	TARGET-WT TARGET-50-PAKJGM-01A
ENSG00000140718.17 2.03724009753	TCGA-TGCT TCGA-2G-AAG0-01A
ENSG00000140718.17 4.84464994768	TCGA-PRAD TCGA-EJ-7794-01A
ENSG00000140718.17 2.83224025991	TCGA-BLCA TCGA-K4-A54R-11A
ENSG00000140718.17 1.06248072689	TCGA-CESC TCGA-DR-A0ZM-01A
ENSG00000140718.17 5.09388893019	TCGA-ACC TCGA-OR-A5L6-01A
ENSG00000140718.17 2.70317986721	TCGA-BLCA TCGA-GD-A3OQ-01A
ENSG00000140718.17 2.87148602902	TCGA-PRAD TCGA-KK-A8I7-01A
ENSG00000140718.17 1.52967542083	TCGA-CESC TCGA-EA-A78R-01A
ENSG00000140718.17 2.92249602608	TCGA-KIRC TCGA-AK-3451-01A
ENSG00000140718.17 4.49647551439	TCGA-HNSC TCGA-CR-7382-01A
ENSG00000140718.17 8.44894229373	TCGA-KIRC TCGA-BP-4774-01A
ENSG00000140718.17 3.38654273986	TCGA-COAD TCGA-AA-3956-01A
ENSG00000140718.17 1.23101046581	TCGA-CESC TCGA-C5-A7UE-01A
ENSG00000140718.17 2.96691851327	TCGA-LUAD TCGA-NJ-A4YF-01A
ENSG00000140718.17 0.493391793765	TCGA-LIHC TCGA-G3-AAUZ-01A
ENSG00000140718.17 6.18757239974	TCGA-LUAD TCGA-55-8615-01A
ENSG00000140718.17 7.10204589729	TCGA-UCEC TCGA-DI-A2QU-11A
ENSG00000140718.17 5.22634414846	TCGA-PRAD TCGA-EJ-7785-11A
ENSG00000140718.17 1.19435964851	TCGA-BLCA TCGA-GV-A3QH-01A
ENSG00000140718.17 2.27788563369	TCGA-COAD TCGA-D5-6931-01A
ENSG00000140718.17 4.02688538277	TCGA-PCPG TCGA-SR-A6MV-01A
ENSG00000140718.17 3.50733456942	TCGA-SKCM TCGA-EE-A3J4-06A
ENSG00000140718.17 7.78570858514	TCGA-SKCM TCGA-ER-A19D-06A
ENSG00000140718.17 1.12646561719	TCGA-DLBC TCGA-RQ-AAAT-01A
ENSG00000140718.17 3.46602286496	TCGA-HNSC TCGA-UF-A71B-01A
ENSG00000140718.17 2.55480816464	TCGA-ESCA TCGA-JY-A6FG-01A
ENSG00000140718.17 4.36487744569	TCGA-STAD TCGA-BR-8369-01A
ENSG00000140718.17 5.9753880928	TCGA-PCPG TCGA-WB-A80Y-01A
ENSG00000140718.17 5.49325782439	TCGA-STAD TCGA-BR-A4CS-01A
ENSG00000140718.17 1.9459446073	TCGA-COAD TCGA-AD-6890-01A
ENSG00000140718.17 0.567325066348	TCGA-HNSC TCGA-CV-A6JM-01A
ENSG00000140718.17 5.3426594321	TCGA-LUAD TCGA-55-6712-01A
ENSG00000140718.17 1.11301410806	TCGA-LIHC TCGA-EP-A26S-11A
ENSG00000140718.17 2.65617095279	TCGA-HNSC TCGA-C9-A47Z-01A
ENSG00000140718.17 3.27726930874	TCGA-UCEC TCGA-AX-A0IZ-01A
ENSG00000140718.17 1.5900243931	TCGA-TGCT TCGA-2G-AAH0-01A
ENSG00000140718.17 2.70253277311	TCGA-COAD TCGA-AA-3870-01A
ENSG00000140718.17 5.55270559266	TCGA-STAD TCGA-BR-8592-01A
ENSG00000140718.17 3.54058212113	TCGA-LUSC TCGA-22-4595-01A
ENSG00000140718.17 4.39666749749	TCGA-OV TCGA-25-1623-01A
ENSG00000140718.17 4.29544381187	TCGA-ACC TCGA-OR-A5JI-01A
ENSG00000140718.17 2.23681258628	TCGA-READ TCGA-F5-6814-01A
ENSG00000140718.17 6.93855538847	TARGET-WT TARGET-50-PAKFYV-01A
ENSG00000140718.17 0.548742933161	TARGET-AML TARGET-20-PANLKB-09A
ENSG00000140718.17 2.7751496468	TCGA-PRAD TCGA-VN-A88O-01A
ENSG00000140718.17 6.07667655629	TCGA-SARC TCGA-DX-A6YQ-01A
ENSG00000140718.17 3.01419522489	TCGA-CESC TCGA-EA-A5FO-01A
ENSG00000140718.17 2.25402821763	TCGA-PRAD TCGA-Y6-A9XI-01A
ENSG00000140718.17 1.00808767362	TCGA-UCEC TCGA-AX-A3FX-01A
ENSG00000140718.17 1.98614078826	TCGA-LIHC TCGA-RC-A6M4-01A
ENSG00000140718.17 2.75484831118	TCGA-LUAD TCGA-86-8075-01A
ENSG00000140718.17 0.980940925801	TCGA-COAD TCGA-AA-3663-01A
ENSG00000140718.17 2.97879907502	TCGA-LUSC TCGA-18-3411-01A
ENSG00000140718.17 1.42283519127	TCGA-COAD TCGA-NH-A50U-01A
ENSG00000140718.17 2.91368696175	TCGA-BLCA TCGA-BT-A20V-01A
ENSG00000140718.17 3.43902941178	TCGA-READ TCGA-AG-3731-01A
ENSG00000140718.17 8.18633047412	TARGET-NBL TARGET-30-PATYIL-02A
ENSG00000140718.17 2.79507978534	TCGA-OV TCGA-23-1120-01A
ENSG00000140718.17 1.64804503285	TCGA-TGCT TCGA-YU-AA4L-01A
ENSG00000140718.17 2.7162052859	TCGA-UCEC TCGA-D1-A17T-01A
ENSG00000140718.17 3.50326221596	TCGA-PAAD TCGA-F2-A8YN-01A
ENSG00000140718.17 8.9383285749	TCGA-KIRC TCGA-B0-5690-01A
ENSG00000140718.17 5.41242566416	TCGA-LUSC TCGA-90-7767-11A
ENSG00000140718.17 2.65838103655	TCGA-KIRP TCGA-IZ-A6M8-01A
ENSG00000140718.17 1.92773305405	TCGA-BLCA TCGA-GV-A3JV-01A
ENSG00000140718.17 9.24363816435	TCGA-LUSC TCGA-56-6545-01A
ENSG00000140718.17 20.5604022837	TCGA-KIRC TCGA-CJ-4885-01A
ENSG00000140718.17 3.79765642575	TCGA-SKCM TCGA-D3-A3BZ-06A
ENSG00000140718.17 2.65946830165	TCGA-LUSC TCGA-39-5024-01A
ENSG00000140718.17 3.27490101506	TCGA-LUSC TCGA-77-A5G3-01A
ENSG00000140718.17 4.662234208	TCGA-PCPG TCGA-QR-A6GR-01A
ENSG00000140718.17 3.31528055913	TCGA-KIRC TCGA-B0-5085-01A
ENSG00000140718.17 7.20720146068	TCGA-PCPG TCGA-S7-A7WQ-01A
ENSG00000140718.17 5.92758022074	TCGA-UCS TCGA-NA-A4QV-01A
ENSG00000140718.17 2.87426293986	TCGA-SARC TCGA-JV-A75J-01A
ENSG00000140718.17 2.56754141259	TCGA-LUSC TCGA-22-1012-01A
ENSG00000140718.17 1.87675796658	TCGA-LIHC TCGA-DD-A4ND-01A
ENSG00000140718.17 2.68393164313	TCGA-PRAD TCGA-HI-7169-01A
ENSG00000140718.17 1.8291650626	TCGA-READ TCGA-F5-6861-01A
ENSG00000140718.17 1.16466907716	TCGA-PRAD TCGA-FC-A6HD-01A
ENSG00000140718.17 2.63023424116	TCGA-TGCT TCGA-YU-A90Q-01A
ENSG00000140718.17 1.59553100367	TCGA-HNSC TCGA-MZ-A7D7-01A
ENSG00000140718.17 3.69297221437	TCGA-THCA TCGA-EM-A2CN-01A
ENSG00000140718.17 4.30571002506	TCGA-KIRC TCGA-BP-5185-01A
ENSG00000140718.17 2.14958503133	TCGA-UCEC TCGA-D1-A1O5-01A
ENSG00000140718.17 3.42910779641	TCGA-SARC TCGA-IF-A4AJ-01A
ENSG00000140718.17 3.61713117189	TCGA-PRAD TCGA-CH-5769-01A
ENSG00000140718.17 1.9181548542	TCGA-CESC TCGA-EK-A2IP-01A
